Model,Accuracy,Precision,Recall,F1-Score
CNN,0.9955,0.9955116883818322,0.9955,0.9954997518976986
SVM,0.967,0.9671634813264056,0.967,0.9669688744111129
Dense NN (MLP),0.9545,0.9545507684637273,0.9545,0.9544280000946145
Random Forest,0.951,0.951359901990219,0.951,0.9509596947829644
